count,mean,p50,p99,ready_replicas,requested_replicas,slo_rate,slo_violations,timestamp,experiment
0,0.0,0.0,0.0,1,1,0.0,0,1781081408.89703,custom_autoscaler
0,0.0,0.0,0.0,1,1,0.0,0,1781081413.8971424,custom_autoscaler
39,0.2174450140255897,0.03749366700048995,1.1297085086403782,1,1,0.20512820512820512,8,1781081418.8972292,custom_autoscaler
64,0.1474567113280898,0.037632154999755585,1.093941890640353,1,2,0.125,8,1781081423.897286,custom_autoscaler
85,0.13914726981172007,0.03870973299945035,1.0638979315203319,1,2,0.09411764705882353,8,1781081428.8973908,custom_autoscaler
118,0.13118252865250093,0.03939038199996503,1.0164231653902605,2,2,0.0847457627118644,10,1781081433.8974693,custom_autoscaler
139,0.1805557896330474,0.04121276299974852,1.5721327968605512,2,4,0.1223021582733813,17,1781081441.2196062,custom_autoscaler
38,0.18289123086843143,0.04433081749994017,1.7396397905997323,2,4,0.13157894736842105,5,1781081446.219681,custom_autoscaler
21,0.054593584047584694,0.043884304000130214,0.12484776839955886,4,4,0.0,0,1781081451.219886,custom_autoscaler
208,0.1536968164855221,0.04151793450000696,1.5819828462906755,4,4,0.09134615384615384,19,1781081456.2199452,custom_autoscaler
233,0.16496599298707731,0.04191733900006511,1.9358789089598247,4,8,0.0944206008583691,22,1781081461.2200255,custom_autoscaler
253,0.15812103164027122,0.04257326000060857,1.8324460095600754,4,8,0.08695652173913043,22,1781081466.2201145,custom_autoscaler
277,0.1476763271263213,0.04141585599973041,1.7083265302803967,8,8,0.07942238267148015,22,1781081473.5429678,custom_autoscaler
300,0.1591108310066223,0.04208822100008547,2.101859563749412,8,10,0.08666666666666667,26,1781081478.5430553,custom_autoscaler
321,0.16299287106538435,0.042306601999371196,2.0222367235996033,8,10,0.09034267912772585,29,1781081483.5431275,custom_autoscaler
41,0.1689646212682153,0.04576393099978304,2.363008699999593,8,10,0.04878048780487805,2,1781081488.543212,custom_autoscaler
370,0.17236571156753278,0.04255950800006758,2.1877329961100354,10,10,0.0918918918918919,34,1781081493.5432463,custom_autoscaler
105,0.23194618034283934,0.04823647200009873,2.3449516834400126,10,10,0.11428571428571428,12,1781081498.5433073,custom_autoscaler
