count,mean,p50,p99,ready_replicas,requested_replicas,slo_rate,slo_violations,timestamp,experiment
1841,0.647500153619764,0.31179082800008473,3.983904045599593,1,1,0.42911461162411735,790,1781082885.6768756,hpa_90
4423,0.40183000912931766,0.1354461179998907,3.4006360522598484,1,1,0.24756952294822518,1095,1781082893.0394971,hpa_90
4420,0.40200675704592037,0.1356362895003258,3.4010135097698506,1,1,0.24773755656108598,1095,1781082898.0395713,hpa_90
4428,0.40142192598689436,0.13524229849963376,3.4000069564098556,1,1,0.247289972899729,1095,1781082903.039664,hpa_90
4437,0.4017677764047707,0.1362012709996634,3.398874583879883,1,1,0.24678837052062205,1095,1781082908.039882,hpa_90
1831,0.6516441258072051,0.3175924530005432,3.9839956456996335,1,1,0.4314582195521573,790,1781082913.0399902,hpa_90
4434,0.4020818081725234,0.1362882835005621,3.399252041389874,1,1,0.2469553450608931,1095,1781082918.0400558,hpa_90
1832,0.6518169623870049,0.3196577085000172,3.983986485689629,1,1,0.4317685589519651,791,1781082923.0401046,hpa_90
4424,0.4042434844025697,0.13992638899981102,3.4005102330898476,1,1,0.2493218806509946,1103,1781082930.4065702,hpa_90
4432,0.4035651937161481,0.1396067095001854,3.399503679729864,1,1,0.24887184115523467,1103,1781082935.406607,hpa_90
4442,0.402741481316517,0.13882703799981755,3.39824548802989,1,1,0.24831157136425033,1103,1781082940.406669,hpa_90
4444,0.4026259979981919,0.1384281455002565,3.3979938496898887,1,1,0.2481998199819982,1103,1781082945.4067357,hpa_90
1825,0.6542534652536948,0.32372439699975075,3.9840506057596574,1,1,0.4334246575342466,791,1781082950.4067655,hpa_90
4451,0.40213929297213297,0.13800720300059766,3.3971131154999057,1,1,0.24780948101550213,1103,1781082955.4068174,hpa_90
4436,0.403366193468657,0.13928893399997833,3.399000403049872,1,1,0.24864743011722273,1103,1781082962.7516963,hpa_90
1817,0.657105337770496,0.3319914310004606,3.98412388583969,1,1,0.4353329664281783,791,1781082967.7517738,hpa_90
4445,0.4025131632665838,0.13828560800084233,3.397868030519899,1,1,0.2481439820022497,1103,1781082972.7518568,hpa_90
1823,0.6548863065622538,0.323811391000163,3.9840689257796655,1,1,0.4339001645639057,791,1781082977.7519317,hpa_90
4437,0.40297172298218703,0.1392738439999448,3.398874583879883,1,1,0.2485913905792202,1103,1781082982.7520027,hpa_90
4440,0.40269233861643416,0.13917428149989064,3.39849712636988,1,1,0.2484234234234234,1103,1781082987.7520788,hpa_90
4423,0.40378084213768345,0.1399950959994385,3.4006360522598484,1,1,0.24937825005652273,1103,1781082997.752257,hpa_90
4425,0.4036045036716322,0.13985768200018356,3.4003844139198582,1,1,0.24926553672316384,1103,1781083002.7523305,hpa_90
4433,0.4029640469289355,0.1395399630000611,3.3993778605598743,1,2,0.24881570042860365,1103,1781083007.7524,hpa_90
4431,0.40301980228187195,0.13967345600030967,3.3996294988998645,1,2,0.24892800722184608,1103,1781083012.752472,hpa_90
4437,0.40313671712575655,0.13975484299953678,3.398874583879883,2,2,0.2492675231011945,1106,1781083017.752547,hpa_90
4441,0.4028287051465847,0.13967345600030967,3.398371307199891,2,2,0.24904300833145687,1106,1781083022.7526278,hpa_90
4424,0.4034597060924467,0.13942199350003648,3.4005102330898476,2,2,0.2497739602169982,1105,1781083030.1068382,hpa_90
4415,0.3974548358708895,0.13405993600008514,3.401642605619832,2,2,0.24394110985277465,1077,1781083035.1069007,hpa_90
1763,0.6485296584600043,0.3179540940000152,3.9857007963997964,2,2,0.43108338060124785,760,1781083040.106971,hpa_90
1750,0.6349004516794224,0.3022411059996557,3.9861901267998108,2,2,0.42114285714285715,737,1781083045.1070354,hpa_90
4422,0.37320856927950646,0.12757715100042333,3.295528790749999,2,2,0.23111714156490276,1022,1781083050.1071029,hpa_90
4427,0.36290911797153347,0.12534763900021062,3.1326746990396317,2,2,0.225886604924328,1000,1781083055.1072056,hpa_90
4431,0.3555682628377289,0.12348977800047578,3.1150574748999,2,2,0.22139471902505078,981,1781083060.1073265,hpa_90
4432,0.3427564300893463,0.12149173799980417,2.576769260030431,2,2,0.21525270758122744,954,1781083067.5460987,hpa_90
1667,0.5404955731751605,0.21853490200010128,3.7772935762003303,2,2,0.3743251349730054,624,1781083072.5461783,hpa_90
4448,0.32847557065871824,0.11911997349989178,2.4449684318694884,2,2,0.2077338129496403,924,1781083077.546279,hpa_90
4433,0.3194237271939945,0.1170884279999882,2.423021179080181,2,2,0.20144371757274984,893,1781083082.54636,hpa_90
4415,0.31269173078662965,0.11547491200053628,2.3863281148603726,2,2,0.19637599093997735,867,1781083087.546484,hpa_90
4392,0.30524776483833543,0.11365956300005564,2.2923927976102747,2,2,0.19057377049180327,837,1781083092.5465584,hpa_90
4343,0.29533305556250833,0.11056522099897848,2.1995961176197665,2,2,0.18305318903983422,795,1781083099.9014692,hpa_90
4348,0.28868902946434544,0.10947041200006424,2.0882277886600096,2,2,0.1780128794848206,774,1781083104.9015577,hpa_90
4357,0.2812074868223493,0.10899321700162545,2.0014589710400683,2,2,0.17466146431030524,761,1781083109.9016411,hpa_90
4332,0.27438424467197303,0.1079429970000092,1.9561244329403746,2,2,0.17012927054478302,737,1781083114.9016993,hpa_90
1457,0.4021754366781055,0.10998685100003058,2.62918955648016,2,2,0.29444063143445437,429,1781083119.9017549,hpa_90
4275,0.25992651745286177,0.10529143800067686,1.7824011004799478,2,2,0.1623391812865497,694,1781083124.9018197,hpa_90
4242,0.2527339857746297,0.1037688680003157,1.6468244536404688,2,2,0.15747289014615748,668,1781083129.9018734,hpa_90
4163,0.24314182884698055,0.10158915400006663,1.6420377144805596,2,2,0.14748979101609416,614,1781083137.266582,hpa_90
4097,0.23765792896289398,0.09961238399955619,1.6567312944003056,2,2,0.14059067610446668,576,1781083142.266659,hpa_90
4069,0.23462390613884732,0.09873744899960002,1.6606604112004448,2,2,0.13738019169329074,559,1781083147.266725,hpa_90
3980,0.23031496690677541,0.09664668050027103,1.6718307179106526,2,2,0.13115577889447236,522,1781083152.2667818,hpa_90
3950,0.22341665350632117,0.0955362724994302,1.6286681181405742,2,2,0.1240506329113924,490,1781083157.266883,hpa_90
3927,0.2144190092179701,0.09434304400019755,1.5409260287401698,2,2,0.11560988031576266,454,1781083162.2669516,hpa_90
3927,0.2144190092179701,0.09434304400019755,1.5409260287401698,2,2,0.11560988031576266,454,1781083162.2669516,hpa_90
3873,0.20682365856595916,0.09337028199843189,1.405622513879565,2,2,0.10844306738962045,420,1781083169.6884787,hpa_90
,,,,2,2,,,1781083174.6885679,hpa_90
,,,,2,2,,,1781083179.688617,hpa_90
,,,,2,2,,,1781083184.688712,hpa_90
,,,,2,2,,,1781083189.6887956,hpa_90
,,,,2,3,,,1781083194.6888766,hpa_90
,,,,2,3,,,1781083204.9886627,hpa_90
,,,,3,3,,,1781083209.988728,hpa_90
,,,,3,3,,,1781083209.988728,hpa_90
,,,,3,3,,,1781083214.9888284,hpa_90
,,,,3,3,,,1781083219.9888713,hpa_90
,,,,3,3,,,1781083229.989038,hpa_90
,,,,2,3,,,1781083234.9891994,hpa_90
,,,,3,3,,,1781083242.460402,hpa_90
,,,,3,3,,,1781083247.4604578,hpa_90
,,,,3,3,,,1781083247.4604578,hpa_90
,,,,3,3,,,1781083252.460506,hpa_90
,,,,3,4,,,1781083257.460553,hpa_90
,,,,3,4,,,1781083267.4608,hpa_90
,,,,3,4,,,1781083267.4608,hpa_90
,,,,3,4,,,1781083274.899777,hpa_90
,,,,4,4,,,1781083279.899893,hpa_90
,,,,4,4,,,1781083284.8999653,hpa_90
,,,,4,4,,,1781083294.9001305,hpa_90
,,,,4,4,,,1781083299.9002647,hpa_90
,,,,4,4,,,1781083307.3281825,hpa_90
,,,,4,4,,,1781083312.328267,hpa_90
,,,,4,4,,,1781083317.328346,hpa_90
,,,,4,4,,,1781083317.328346,hpa_90
,,,,4,6,,,1781083322.3284433,hpa_90
403,1.4224002933597668,1.0973146460000862,6.294932332378996,4,6,0.7866004962779156,317,1781083332.3285992,hpa_90
403,1.4224002933597668,1.0973146460000862,6.294932332378996,4,6,0.7866004962779156,317,1781083332.3285992,hpa_90
,,,,6,6,,,1781083342.7554464,hpa_90
,,,,6,6,,,1781083347.7555444,hpa_90
,,,,6,6,,,1781083352.7556314,hpa_90
,,,,6,6,,,1781083357.755709,hpa_90
,,,,6,6,,,1781083362.7557847,hpa_90
,,,,6,6,,,1781083367.7558794,hpa_90
,,,,6,6,,,1781083372.7559154,hpa_90
