experiment,time_s,qps,ok,err,p50,p99,mean,slo_violations,slo_rate,ready_replicas,cpu_cores
hpa_90,0,7,7,0,0.0435,0.0665,0.0466,0,0.0,1,1
hpa_90,1,6,6,0,0.0451,0.0479,0.045,0,0.0,1,1
hpa_90,2,7,7,0,0.0458,0.0481,0.0455,0,0.0,1,1
hpa_90,3,6,6,0,0.0453,0.051,0.0453,0,0.0,1,1
hpa_90,4,7,7,0,0.042,0.0454,0.0424,0,0.0,1,1
hpa_90,5,8,8,0,0.0417,0.0432,0.041,0,0.0,1,1
hpa_90,6,7,7,0,0.046,0.0529,0.0466,0,0.0,1,1
hpa_90,7,7,7,0,0.0497,0.0513,0.0478,0,0.0,1,1
hpa_90,8,7,7,0,0.0436,0.0492,0.0441,0,0.0,1,1
hpa_90,9,8,8,0,0.0466,0.0536,0.0467,0,0.0,1,1
hpa_90,10,6,6,0,0.0444,0.0505,0.0449,0,0.0,1,1
hpa_90,11,9,9,0,0.0456,0.0501,0.0455,0,0.0,1,1
hpa_90,12,9,9,0,0.0413,0.046,0.0414,0,0.0,1,1
hpa_90,13,7,7,0,0.0419,0.0536,0.0433,0,0.0,1,1
hpa_90,14,7,7,0,0.046,0.0492,0.046,0,0.0,1,1
hpa_90,15,9,9,0,0.0479,0.0486,0.0463,0,0.0,1,1
hpa_90,16,7,7,0,0.0458,0.0486,0.0459,0,0.0,1,1
hpa_90,17,7,7,0,0.046,0.049,0.0464,0,0.0,1,1
hpa_90,18,8,8,0,0.0452,0.0485,0.0456,0,0.0,1,1
hpa_90,19,8,8,0,0.044,0.0483,0.0435,0,0.0,1,1
hpa_90,20,8,8,0,0.0445,0.0524,0.0452,0,0.0,1,1
hpa_90,21,7,7,0,0.0412,0.0474,0.042,0,0.0,1,1
hpa_90,22,6,6,0,0.0452,0.0538,0.0461,0,0.0,1,1
hpa_90,23,7,7,0,0.0439,0.0529,0.0454,0,0.0,1,1
hpa_90,24,5,5,0,0.0465,0.0511,0.0462,0,0.0,1,1
hpa_90,25,7,7,0,0.0463,0.0543,0.0468,0,0.0,1,1
hpa_90,26,8,8,0,0.0477,0.0535,0.0467,0,0.0,1,1
hpa_90,27,10,10,0,0.0441,0.0467,0.0434,0,0.0,1,1
hpa_90,28,7,7,0,0.0426,0.0496,0.0432,0,0.0,1,1
hpa_90,29,5,5,0,0.0415,0.043,0.0407,0,0.0,1,1
hpa_90,30,8,8,0,0.0469,0.0503,0.0466,0,0.0,1,1
hpa_90,31,7,7,0,0.0452,0.0517,0.0453,0,0.0,1,1
hpa_90,32,8,8,0,0.046,0.055,0.0468,0,0.0,1,1
hpa_90,33,6,6,0,0.0481,0.0492,0.0473,0,0.0,1,1
hpa_90,34,8,8,0,0.0448,0.0541,0.0463,0,0.0,1,1
hpa_90,35,6,6,0,0.0424,0.0498,0.0434,0,0.0,1,1
hpa_90,36,7,7,0,0.044,0.0505,0.045,0,0.0,1,1
hpa_90,37,8,8,0,0.0447,0.0505,0.0449,0,0.0,1,1
hpa_90,38,6,6,0,0.0458,0.051,0.0462,0,0.0,1,1
hpa_90,39,8,8,0,0.0452,0.0583,0.0463,0,0.0,1,1
hpa_90,40,7,7,0,0.0458,0.0522,0.0465,0,0.0,1,1
hpa_90,41,7,7,0,0.0455,0.0547,0.0464,0,0.0,1,1
hpa_90,42,6,6,0,0.0469,0.0503,0.0472,0,0.0,1,1
hpa_90,43,6,6,0,0.0458,0.05,0.0453,0,0.0,1,1
hpa_90,44,6,6,0,0.0402,0.0449,0.041,0,0.0,1,1
hpa_90,45,7,7,0,0.0439,0.0488,0.0433,0,0.0,1,1
hpa_90,46,8,8,0,0.0462,0.0506,0.0464,0,0.0,1,1
hpa_90,47,6,6,0,0.0474,0.0715,0.0515,0,0.0,1,1
hpa_90,48,6,6,0,0.0452,0.0524,0.0463,0,0.0,1,1
hpa_90,49,6,6,0,0.0455,0.0521,0.0463,0,0.0,1,1
hpa_90,50,6,6,0,0.0434,0.046,0.0438,0,0.0,1,1
hpa_90,51,5,5,0,0.0454,0.0497,0.0452,0,0.0,1,1
hpa_90,52,7,7,0,0.0416,0.0459,0.0426,0,0.0,1,1
hpa_90,53,7,7,0,0.0435,0.0539,0.0443,0,0.0,1,1
hpa_90,54,7,7,0,0.0439,0.0543,0.0462,0,0.0,1,1
hpa_90,55,8,8,0,0.0449,0.0478,0.0452,0,0.0,1,1
hpa_90,56,8,8,0,0.0455,0.0554,0.0466,0,0.0,1,1
hpa_90,57,8,8,0,0.0451,0.0498,0.0454,0,0.0,1,1
hpa_90,58,6,6,0,0.0441,0.0505,0.0442,0,0.0,1,1
hpa_90,59,5,5,0,0.0426,0.0527,0.0444,0,0.0,1,1
hpa_90,60,9,9,0,0.0415,0.0474,0.0421,0,0.0,1,1
hpa_90,61,6,6,0,0.0439,0.0475,0.0442,0,0.0,1,1
hpa_90,62,7,7,0,0.0459,0.0525,0.0469,0,0.0,1,1
hpa_90,63,6,6,0,0.0481,0.0586,0.0493,0,0.0,1,1
hpa_90,64,7,7,0,0.0433,0.0494,0.0442,0,0.0,1,1
hpa_90,65,7,7,0,0.047,0.0527,0.0479,0,0.0,1,1
hpa_90,66,6,6,0,0.0473,0.0539,0.0469,0,0.0,1,1
hpa_90,67,8,8,0,0.0436,0.0473,0.0435,0,0.0,1,1
hpa_90,68,8,8,0,0.0445,0.0518,0.0448,0,0.0,1,1
hpa_90,69,8,8,0,0.0434,0.0491,0.0432,0,0.0,1,1
hpa_90,70,5,5,0,0.0453,0.0571,0.0471,0,0.0,1,1
hpa_90,71,8,8,0,0.0466,0.0535,0.0475,0,0.0,1,1
hpa_90,72,8,8,0,0.0445,0.0584,0.0465,0,0.0,1,1
hpa_90,73,7,7,0,0.0458,0.0508,0.0468,0,0.0,1,1
